SavingsID,Age,Work_Exp,Annual_Income,ZIP,FamilySize,Edu_Level,OtherLoan_Monthly,Securities_Account,CD_Account,Online_Services,CreditCard,CC_Spend,PersonalLoan (prediction)
10402,25,1,490000,91107,4,Higher Secondary,0,Yes,No,No,No,0,No
10803,45,19,340000,90089,3,Higher Secondary,0,Yes,No,No,No,0,No
11204,39,15,110000,94720,1,Higher Secondary,0,No,No,No,No,0,No
11605,35,9,1000000,94112,1,Bachelor's,0,No,No,No,No,0,No
12006,35,8,450000,91330,4,Bachelor's,0,No,No,No,Yes,10000,No
12407,37,13,290000,92121,4,Bachelor's,15500,No,No,Yes,No,0,No
12808,53,27,720000,91711,2,Bachelor's,124000,No,No,Yes,No,0,No
13209,50,24,220000,93943,1,Master's and above,0,No,No,No,Yes,3000,No
13610,35,10,810000,90089,3,Bachelor's,10400,No,No,Yes,No,0,No
14011,34,9,1800000,93023,1,Master's and above,0,No,No,No,No,0,Yes
14412,65,39,1050000,94710,4,Master's and above,0,No,No,No,No,0,No
14813,29,5,450000,90277,3,Bachelor's,0,No,No,Yes,No,0,No
15214,48,23,1140000,93106,2,Master's and above,0,Yes,No,No,No,0,No
15615,59,32,400000,94920,4,Bachelor's,0,No,No,Yes,No,0,No
16016,67,41,1120000,91741,1,Higher Secondary,0,Yes,No,No,No,0,No
16417,60,30,220000,95054,1,Master's and above,0,No,No,Yes,Yes,15000,No
16818,38,14,1300000,95010,4,Master's and above,13400,No,No,No,No,0,Yes
17219,42,18,810000,94305,4,Higher Secondary,0,No,No,No,No,0,No
17620,46,21,1930000,91604,2,Master's and above,0,No,No,No,No,0,Yes
18021,55,28,210000,94720,1,Bachelor's,0,Yes,No,No,Yes,5000,No
18422,56,31,250000,94015,4,Bachelor's,11100,No,No,Yes,No,0,No
18823,57,27,630000,90095,3,Master's and above,0,No,No,Yes,No,0,No
19224,29,5,620000,90277,1,Higher Secondary,26000,No,No,Yes,No,0,No
19625,44,18,430000,91320,2,Higher Secondary,16300,Yes,No,No,No,0,No
20026,36,11,1520000,95521,2,Higher Secondary,15900,No,No,No,Yes,39000,No
20427,43,19,290000,94305,3,Higher Secondary,9700,No,No,Yes,No,0,No
20828,40,16,830000,95064,4,Master's and above,0,No,No,No,No,0,No
21229,46,20,1580000,90064,1,Higher Secondary,0,No,No,Yes,Yes,24000,No
21630,56,30,480000,94539,1,Master's and above,0,No,No,Yes,Yes,22000,No
22031,38,13,1190000,94104,1,Bachelor's,0,No,Yes,Yes,Yes,33000,Yes
22432,59,35,350000,93106,1,Master's and above,12200,No,No,Yes,No,0,No
22833,40,16,290000,94117,1,Bachelor's,0,No,No,Yes,No,0,No
23234,53,28,410000,94801,2,Master's and above,19300,No,No,No,No,0,No
23635,30,6,180000,91330,3,Master's and above,0,No,No,No,No,0,No
24036,31,5,500000,94035,4,Master's and above,0,No,No,Yes,No,0,No
24437,48,24,810000,92647,3,Higher Secondary,0,No,No,No,No,0,No
24838,59,35,1210000,94720,1,Higher Secondary,0,No,No,No,Yes,29000,No
25239,51,25,710000,95814,1,,19800,No,No,No,No,0,No
25640,42,18,1410000,94114,3,Master's and above,0,Yes,Yes,Yes,No,0,Yes
26041,38,13,800000,94115,4,Master's and above,28500,No,No,Yes,No,0,No
26442,57,32,840000,92672,3,Master's and above,0,Yes,No,No,No,0,No
26843,34,9,600000,94122,3,Higher Secondary,0,No,No,No,No,0,No
27244,32,7,1320000,90019,4,Bachelor's,41200,No,No,Yes,No,0,Yes
27645,39,15,450000,95616,1,Higher Secondary,0,No,No,Yes,No,0,No
28046,46,20,1040000,94065,1,Higher Secondary,0,No,No,Yes,Yes,57000,No
28447,57,31,520000,94720,4,Higher Secondary,0,No,No,No,Yes,25000,No
28848,39,14,430000,95014,3,Bachelor's,15300,No,No,Yes,No,0,No
29249,37,12,1940000,91380,4,Master's and above,21100,Yes,Yes,Yes,Yes,2000,Yes
